Sl No,AI/ML Project,Code Libraries,Application,Info,Comment,
1,01_PythonBasicsInfo,pandas & drive & seaborn,,,,
1,02_MachineLearningInfo,pandas & drive & seaborn & matplotlib.pyplot & sklearn.model_selection & sklearn.tree & sklearn & warnings & os & sklearn.metrics,,,,
1,03_AdvancedMachineLearningInfo,,,,,
1,04_NeuralNetworkBasicsInfo,,,,,
1,05_NaturalLanguageProcessingInfo,,,,,
1,06_ComputerVisionInfo,,,,,
1,07_ModelDeploymentInfo,,,,,
1,08_SQLBasicsInfo,,,,,
1,09_AppliedStatisticsInfo,,,,,
1,10_AdvancedMachineLearningMLOpsInfo,,,,,
1,11_NaturalLanguageProcessingAdvancedInfo,,,,,
1,12_CapstoneSampleProjectsInfo,,,,,
1,,,,,,
1,,,,,,
1,100_PythonAIMLExamplesInfo,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
