Sl No., Open Standard, Link, Info, Comment,github,
1,OpenAI,https://openai.com/,https://en.wikipedia.org/wiki/OpenAI,Artificial General Intelligence/Generative AI,https://github.com/openai/openai-python,
2,OpenML,https://new.openml.org/,https://en.wikipedia.org/wiki/OpenML,unsupervised learning,https://github.com/openml/openml.org,
3,OpenCog,https://wiki.opencog.org/,https://en.wikipedia.org/wiki/OpenCog,artificial intelligence framework,https://github.com/opencog,
4,Weka,https://git.cms.waikato.ac.nz/weka/,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,Open Source Dataset,,,,,
4,Open AI ML Models,,,,,
4,Open AI ML Libraries,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
